"Año","jurisdiccion","Total","Personal","Bienes_y_servicios_no_personales","Gasto_x_alumno_estatal"
2024,"Buenos Aires",6445135291168.53,5377795743631.46,137380600259.69,1806572.42133985
2024,"Ciudad Autónoma de Buenos Aires",1685109839724.58,1118140574257.64,135273912258.4,3404241
2024,"Catamarca",303270915462.06,227538249444.06,14587742758.54,3017726.79941426
2024,"Chaco",748540163851.607,659142751596.15,3178507488.26,1953827.06015215
2024,"Chubut",398461627232.606,348642893910.88,12780712726.35,2723035.74014302
2024,"Córdoba",1347469912330.08,926465860711.81,101098989729.695,1750716.64243446
2024,"Corrientes",447996906612.116,355992330445.59,17377929816.42,1334794.2044812
2024,"Entre Ríos",660313311330.552,525982280390,5915397348,2017689.91351672
2024,"Formosa",285579143303.429,218553192342.57,9159313443.97,1676924.58331739
2024,"Jujuy",364553050570.425,281215347767.87,4933429931.37,1814925.74368088
2024,"La Pampa",262792165974.016,210046297338.38,28311871804.02,3108649.63227891
2024,"La Rioja",214711130622.044,194809099577.8,5649361435.47,2331242.80525253
2024,"Mendoza",757615519493.986,566028192314.339,50553978098.8701,1648748.50731725
2024,"Misiones",547916626428.346,392842999455.13,2208028074.6,1403320.91037293
2024,"Neuquén",1065925061017.66,899979718501.21,107070521169.33,6133806.65043186
2024,"Río Negro",498241482583.552,422014307008.33,17316055135.2,2751715.55013447
2024,"Salta",709028310616.443,571167361513.66,29620885253.31,1865919.74348713
2024,"San Juan",426987414827.311,329313210613.72,11895447501.96,2073215.27693428
2024,"San Luis",249133998338.603,164970239590.1,4885528110.7793,1684695.84084271
2024,"Santa Cruz",368111391653.042,311471603419.44,12427200748.91,4130152.73331731
2024,"Santa Fe",1583392669181.02,1206005665168.83,22785451882.06,2067412.06810685
2024,"Santiago del Estero",460552184429.127,372657402365.28,4955876729.26,1706144.4089231
2024,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",241866487887.159,213017758275.76,6628912724.13,5414550.03245257
2024,"Tucumán",463514461019.843,395306270099.93,6791762196.94,1217818.99891775
